Depth (Ft),Shear (lbs.)
46.400000000000006,6751.534369706849
46.5,6551.5328650082
46.6,6351.677031714122
46.7,6151.971898815335
46.800000000000004,5952.422088919469
46.900000000000006,5753.032546354102
47.0,5553.807961457377
47.1,5354.753227758984
47.2,5155.8731710581005
47.300000000000004,4957.172583288641
47.400000000000006,4758.656527306584
47.5,4560.3298627763625
47.6,4362.197381631892
47.7,4164.264231392294
47.800000000000004,3966.5351531936003
47.900000000000006,3769.0152945549303
48.0,3571.709447410202
48.1,3374.6228270090496
48.2,3177.760580870594
48.300000000000004,2981.1275009287524
48.400000000000006,2784.7287855005306
48.5,2588.569649835564
48.6,2392.6551398572005
48.7,2196.99026762353
48.800000000000004,2001.5802145189307
48.900000000000006,1806.4303651193238
49.0,1611.5457653480576
49.1,1416.9316812526522
49.2,1222.593328082743
49.300000000000004,1028.536124279509
49.400000000000006,834.7652004294413
49.5,641.2857717821748
49.6,448.1033922399179
49.7,255.22310772601864
49.800000000000004,62.65075999737306
49.900000000000006,-129.60865582055695
50.0,-321.5495180950482
50.1,-513.166493048065
50.2,-704.4541283731712
50.300000000000004,-895.4069378986729
50.400000000000006,-1086.0192153287037
50.5,-1276.2856946157424
50.6,-1466.2006863965512
50.7,-1655.758738364694
50.800000000000004,-1844.9541442243037
50.900000000000006,-2033.7814008710582
51.0,-2222.234632682804
51.1,-2410.3083026899612
51.2,-2597.9968231250646
51.300000000000004,-2785.294216770187
51.400000000000006,-2972.194997453637
51.5,-3158.693171024858
51.6,-3344.7830989185
51.7,-3530.4588716471508
51.800000000000004,-3715.7147151844297
51.900000000000006,-3900.5447200429257
52.0,-4084.9429090047133
52.1,-4268.903541908669
52.2,-4452.420387547436
52.300000000000004,-4635.487722692519
52.400000000000006,-4818.099400799706
52.5,-5000.2493430553
52.6,-5181.931623039261
52.7,-5363.139992611604
52.800000000000004,-5543.868415290202
52.900000000000006,-5724.110693732959
53.0,-5903.86069832829
53.1,-6083.112147070953
53.2,-6261.858791820964
53.300000000000004,-6440.094367505709
53.400000000000006,-6617.812583653632
53.5,-6795.006972000576
53.6,-6971.671301339185
53.7,-7147.799078006359
53.800000000000004,-7323.383909934769
53.900000000000006,-7498.419210331856
54.0,-7672.898604062922
54.1,-7846.815318076492
54.2,-8020.162977237867
54.300000000000004,-8192.93485929346
54.400000000000006,-8365.124301253882
54.5,-8536.724623197118
54.6,-8707.72911980221
54.7,-8878.130874090339
54.800000000000004,-9047.92323153843
54.900000000000006,-9217.09915663927
55.0,-9385.651884807696
55.1,-9553.574414401746
55.2,-9720.859752245777
55.300000000000004,-9887.500879765195
55.400000000000006,-10053.490727587528
55.5,-10218.822133210842
55.6,-10383.487967998459
55.7,-10547.480950920046
55.800000000000004,-10710.793885608413
55.900000000000006,-10873.419423302708
56.0,-11035.35020677577
56.1,-11196.578734873092
56.2,-11357.097684232767
56.300000000000004,-11516.899384374003
56.400000000000006,-11675.97637647386
56.5,-11834.320939253663
56.6,-11991.925393766302
56.7,-12148.782018733094
56.800000000000004,-12304.882982813277
56.900000000000006,-12460.220437733453
57.0,-12614.786408225511
57.1,-12768.572944420288
57.2,-12921.57191865601
57.300000000000004,-13073.775279467742
57.400000000000006,-13225.174696002168
57.5,-13375.762074462778
57.6,-13525.528973934175
57.7,-13674.466970433587
57.800000000000004,-13822.567610346141
57.900000000000006,-13969.822283430154
58.0,-14116.222383677097
58.1,-14261.759203482668
58.2,-14406.423874382594
58.300000000000004,-14550.207544845229
58.400000000000006,-14693.1011982458
58.5,-14835.095813726377
58.6,-14976.182192636423
58.7,-15116.35106012858
58.800000000000004,-15255.59311595654
58.900000000000006,-15393.898877848244
59.0,-15531.258778868481
59.1,-15667.66314201996
59.2,-15803.10225644013
59.300000000000004,-15937.566199608582
59.400000000000006,-16071.044955875448
59.5,-16203.528471492451
59.6,-16335.006481053446
59.7,-16465.46862178968
59.800000000000004,-16594.904446269255
59.900000000000006,-16723.303316568203
60.0,-16850.654433902575
60.1,-16976.94699948843
60.2,-17102.169875889253
60.300000000000004,-17226.311968000093
60.400000000000006,-17349.361901327637
60.5,-17471.308195549635
60.6,-17592.13917985177
60.7,-17711.843047958682
60.800000000000004,-17830.407811569272
60.900000000000006,-17947.821287657196
61.0,-18064.0711069372
61.1,-18179.14471809828
61.2,-18293.029417435755
61.300000000000004,-18405.712243022375
61.400000000000006,-18517.17998740776
61.5,-18627.41935424524
61.6,-18736.41669583609
61.7,-18844.158209971363
61.800000000000004,-18950.629808703987
61.900000000000006,-19055.81719031246
62.0,-19159.705784269798
62.1,-19262.280747010383
62.2,-19363.52694076417
62.300000000000004,-19463.429009753523
62.400000000000006,-19561.971198167448
62.5,-19659.137559702885
62.6,-19754.91172474105
62.7,-19849.27706120742
62.800000000000004,-19942.216566626215
62.900000000000006,-20033.712889286195
63.0,-20123.748296491965
63.1,-20212.304672447415
63.2,-20299.363522488864
63.300000000000004,-20384.905905354546
63.400000000000006,-20468.912450117252
63.5,-20551.363362534048
63.6,-20632.2383446163
63.7,-20711.51663272808
63.800000000000004,-20789.176940438552
63.900000000000006,-20865.19744158935
64.0,-20939.55577346942
64.10000000000001,-21012.22898919203
64.2,-21083.19351959634
64.3,-21152.425188063462
64.4,-21219.433481739346
64.5,-21283.875537117212
64.60000000000001,-21345.77127331813
64.7,-21405.140629570662
64.8,-21462.003557802844
64.9,-21516.380044866262
65.0,-21568.290087137106
65.10000000000001,-21617.753698982473
