Depth (Ft),Moment (Ft-lb)
59.800000000000004,464952.0669819918
59.900000000000006,463292.57653736486
60.0,461620.24620570807
60.1,459935.1807623178
60.2,458237.48606236896
60.300000000000004,456527.26907478
60.400000000000006,454804.63787798
60.5,453069.70168784726
60.6,451322.5708682923
60.7,449563.3569503071
60.800000000000004,447792.1726455112
60.900000000000006,446009.1318643543
61.0,444214.3497355886
61.1,442407.94262489484
61.2,440590.02815308503
61.300000000000004,438760.72521134146
61.400000000000006,436920.15398703923
61.5,435068.43598829844
61.6,433205.69405287394
61.7,431332.0523832903
61.800000000000004,429447.63656229316
61.900000000000006,427552.5735814228
62.0,425646.99186239153
62.1,423731.02128396457
62.2,421804.79320926353
62.300000000000004,419868.4405151871
62.400000000000006,417922.0976142117
62.5,415965.900494395
62.6,413999.9867384247
62.7,412024.49556595064
62.800000000000004,410039.56785982987
62.900000000000006,408045.3462031672
63.0,406041.9749142386
63.1,404029.60008458945
63.2,402008.3696173447
63.300000000000004,399978.4332650958
63.400000000000006,397939.94267456036
63.5,395893.05142954865
63.6,393837.9150932952
63.7,391774.69125883357
63.800000000000004,389703.53959556075
63.900000000000006,387624.6219015169
64.0,385538.10215735796
64.10000000000001,383444.14658001106
64.2,381342.92368109187
64.3,379234.6043291322
64.4,377119.3618103259
64.5,374997.41846215195
64.60000000000001,372869.0309084402
64.7,370734.4537811084
64.8,368593.93971815135
64.9,366447.73936237104
65.0,364296.1013578844
65.10000000000001,362139.2723491707
65.2,359977.49697927246
65.3,357811.0178883139
65.4,355640.07571207226
65.5,353464.9090807607
65.60000000000001,351285.75461828767
65.7,349102.84694151575
65.8,346916.418659045
65.9,344726.70037168905
66.0,342533.9206710463
66.10000000000001,340338.30614061124
66.2,338140.08135429287
66.3,335939.46887810784
66.4,333736.6892691753
66.5,331531.9610774627
66.60000000000001,329325.5008454423
66.7,327117.5231095195
66.8,324908.2404005621
66.9,322697.8632453027
67.0,320486.60016760824
67.10000000000001,318274.6576897935
67.2,316062.2403341883
67.3,313849.5506248901
67.4,311636.7890896762
67.5,309424.1542619611
67.60000000000001,307211.84268298576
67.7,305000.04890411306
67.8,302788.96548924193
67.9,300578.7830174496
68.0,298369.690085545
68.10000000000001,296161.87331156083
68.2,293955.51733646035
68.3,291750.8048286745
68.4,289547.9164866022
68.5,287347.0310421559
68.60000000000001,285148.3252642006
68.7,282951.973962311
68.8,280758.1499906871
68.9,278567.024252017
69.0,276378.7657008106
69.10000000000001,274193.54134924634
69.2,272011.5162697644
69.3,269832.8536000405
69.4,267657.71454790665
69.5,265486.2583953203
69.60000000000001,263318.64250349667
69.7,261155.02231846473
69.8,258995.55137408356
69.9,256840.38130008517
70.0,254689.66182413828
70.10000000000001,252543.54077930914
70.2,250402.16410818897
70.3,248265.6758701961
70.4,246134.21824549162
70.5,244007.93154154083
70.60000000000001,241886.95419814007
70.7,239771.4227948248
70.8,237661.47205520846
