Depth (Ft),Displacement (in)
78.9,[0.14858169]
79.0,[0.14856383]
79.10000000000001,[0.14854598]
79.2,[0.14852815]
79.30000000000001,[0.14851032]
79.4,[0.14849251]
79.5,[0.14847472]
79.60000000000001,[0.14845693]
79.7,[0.14843916]
79.80000000000001,[0.1484214]
79.9,[0.14840366]
80.0,[0.14838592]
80.10000000000001,[0.1483682]
80.2,[0.1483505]
80.30000000000001,[0.1483328]
80.4,[0.14831512]
80.5,[0.14829745]
80.60000000000001,[0.1482798]
80.7,[0.14826215]
80.80000000000001,[0.14824452]
80.9,[0.1482269]
81.0,[0.1482093]
81.10000000000001,[0.14819171]
81.2,[0.14817413]
81.30000000000001,[0.14815656]
81.4,[0.14813901]
81.5,[0.14812147]
81.60000000000001,[0.14810394]
81.7,[0.14808642]
81.80000000000001,[0.14806892]
81.9,[0.14805143]
82.0,[0.14803396]
82.10000000000001,[0.14801649]
82.2,[0.14799904]
82.30000000000001,[0.1479816]
82.4,[0.14796418]
82.5,[0.14794676]
82.60000000000001,[0.14792936]
82.7,[0.14791198]
82.80000000000001,[0.1478946]
82.9,[0.14787724]
83.0,[0.14785989]
83.10000000000001,[0.14784256]
83.2,[0.14782523]
83.30000000000001,[0.14780792]
83.4,[0.14779063]
83.5,[0.14777334]
83.60000000000001,[0.14775607]
83.7,[0.14773881]
83.80000000000001,[0.14772157]
83.9,[0.14770433]
84.0,[0.14768711]
84.10000000000001,[0.1476699]
84.2,[0.14765271]
84.30000000000001,[0.14763553]
84.4,[0.14761836]
84.5,[0.1476012]
84.60000000000001,[0.14758406]
84.7,[0.14756693]
84.80000000000001,[0.14754981]
84.9,[0.1475327]
85.0,[0.14751561]
85.10000000000001,[0.14749853]
85.2,[0.14748147]
85.30000000000001,[0.14746441]
85.4,[0.14744737]
85.5,[0.14743034]
85.60000000000001,[0.14741333]
85.7,[0.14739632]
85.80000000000001,[0.14737933]
85.9,[0.14736236]
86.0,[0.14734539]
86.10000000000001,[0.14732844]
86.2,[0.1473115]
86.30000000000001,[0.14729458]
86.4,[0.14727766]
86.5,[0.14726076]
86.60000000000001,[0.14724388]
86.7,[0.147227]
86.80000000000001,[0.14721014]
86.9,[0.14719329]
87.0,[0.14717645]
87.10000000000001,[0.14715963]
87.2,[0.14714282]
87.30000000000001,[0.14712602]
87.4,[0.14710924]
87.5,[0.14709247]
87.60000000000001,[0.14707571]
87.7,[0.14705896]
87.80000000000001,[0.14704223]
87.9,[0.14702551]
88.0,[0.1470088]
88.10000000000001,[0.1469921]
88.2,[0.14697542]
88.30000000000001,[0.14695875]
88.4,[0.14694209]
88.5,[0.14692545]
88.60000000000001,[0.14690882]
88.7,[0.1468922]
88.80000000000001,[0.1468756]
88.9,[0.146859]
89.0,[0.14684242]
89.10000000000001,[0.14682586]
89.2,[0.1468093]
89.30000000000001,[0.14679276]
89.4,[0.14677623]
89.5,[0.14675972]
89.60000000000001,[0.14674321]
89.7,[0.14672672]
89.80000000000001,[0.14671025]
89.9,[0.14669378]
90.0,[0.14667733]
90.10000000000001,[0.14666089]
90.2,[0.14664446]
90.30000000000001,[0.14662805]
90.4,[0.14661165]
90.5,[0.14659526]
90.60000000000001,[0.14657889]
90.7,[0.14656253]
90.80000000000001,[0.14654618]
90.9,[0.14652984]
91.0,[0.14651352]
91.10000000000001,[0.14649721]
91.2,[0.14648091]
91.30000000000001,[0.14646462]
91.4,[0.14644835]
91.5,[0.14643209]
91.60000000000001,[0.14641584]
91.7,[0.14639961]
91.80000000000001,[0.14638339]
91.9,[0.14636718]
92.0,[0.14635099]
92.10000000000001,[0.1463348]
92.2,[0.14631863]
92.30000000000001,[0.14630248]
92.4,[0.14628633]
92.5,[0.1462702]
92.60000000000001,[0.14625408]
92.7,[0.14623798]
92.80000000000001,[0.14622188]
92.9,[0.1462058]
93.0,[0.14618973]
93.10000000000001,[0.14617368]
93.2,[0.14615764]
93.30000000000001,[0.14614161]
93.4,[0.14612559]
93.5,[0.14610959]
93.60000000000001,[0.1460936]
93.7,[0.14607762]
93.80000000000001,[0.14606166]
93.9,[0.14604571]
94.0,[0.14602977]
94.10000000000001,[0.14601384]
94.2,[0.14599793]
94.30000000000001,[0.14598202]
94.4,[0.14596614]
94.5,[0.14595026]
94.60000000000001,[0.1459344]
94.7,[0.14591855]
94.80000000000001,[0.14590271]
94.9,[0.14588689]
95.0,[0.14587108]
95.10000000000001,[0.14585528]
95.2,[0.14583949]
95.30000000000001,[0.14582372]
95.4,[0.14580796]
95.5,[0.14579221]
95.60000000000001,[0.14577648]
95.7,[0.14576076]
95.80000000000001,[0.14574505]
95.9,[0.14572935]
96.0,[0.14571367]
96.10000000000001,[0.145698]
96.2,[0.14568234]
96.30000000000001,[0.1456667]
96.4,[0.14565107]
96.5,[0.14563545]
96.60000000000001,[0.14561984]
96.7,[0.14560425]
96.80000000000001,[0.14558867]
96.9,[0.1455731]
97.0,[0.14555755]
97.10000000000001,[0.145542]
97.2,[0.14552648]
97.30000000000001,[0.14551096]
97.4,[0.14549546]
97.5,[0.14547996]
97.60000000000001,[0.14546449]
97.7,[0.14544902]
97.80000000000001,[0.14543357]
97.9,[0.14541813]
98.0,[0.1454027]
98.10000000000001,[0.14538729]
98.2,[0.14537189]
98.30000000000001,[0.1453565]
98.4,[0.14534112]
98.5,[0.14532576]
98.60000000000001,[0.14531041]
98.7,[0.14529507]
98.80000000000001,[0.14527975]
98.9,[0.14526444]
99.0,[0.14524914]
99.10000000000001,[0.14523385]
99.2,[0.14521858]
99.30000000000001,[0.14520332]
99.4,[0.14518807]
99.5,[0.14517284]
99.60000000000001,[0.14515762]
99.7,[0.14514241]
99.80000000000001,[0.14512721]
99.9,[0.14511203]
100.0,[0.14509686]
